FIRST NAME,LAST NAME OR BUSINESS NAME,NPN,RES STATE,LICENSE NO,LICENSE STATUS,LICENSE CLASS,LICENSE EFFECTIVE DATE,LICENSE EXPIRATION DATE,LOA NAME,LOA STATUS,BUS ADDRESS1,BUS ADDRESS2,BUSINESS CITY,BUSINESS STATE ABBR,BUSINESS ZIP,BUSINESS COUNTY
TUCKER,LYTLE,20226572,Florida,3002596417,Active,Insurance Producer,2025-04-01,2027-03-31,Life,Approved,8745 HENDERSON RD STE 220,,TAMPA,FL,33634,Pinellas
,HIBBARD INSURANCE AGENCY INC,111111,Vermont,3668358,Active,Insurance Producer,2024-04-01,2027-03-31,Life,Approved,100 WILLISTON RD,,WILLISTON,VT,05495,Chittenden
,HIBBARD INSURANCE AGENCY INC,111111,Vermont,3668358,Active,Insurance Producer,2024-04-01,2027-03-31,Accident and Health or Sickness,Approved,100 WILLISTON RD,,WILLISTON,VT,05495,Chittenden
,TS PECK LLC,222222,Vermont,595719,Active,Insurance Producer,2024-04-01,2027-03-31,Personal Lines,Approved,12 DORSET ST,,SOUTH BURLINGTON,VT,05403,Chittenden
,CAVALIERI INSURANCE AGENCY INCORPORATED,333333,Vermont,634,Active,Insurance Producer,2024-04-01,2027-03-31,Property,Approved,50 CENTER ST,,RUTLAND,VT,05701,Rutland
,KERRI SURRIDGE INSURANCE AGENCY LLC,444444,Vermont,3003797214,Active,Insurance Producer,2024-04-01,2027-03-31,Life,Approved,8 N MAIN ST,,BARRE,VT,05641,Washington
,EZ ACCESS SELF STORAGE LLC,555555,Vermont,3003746732,Active,Limited Lines Producer,2024-04-01,2027-03-31,SELF STORAGE,Approved,1 INDUSTRIAL AVE,,MILTON,VT,05468,Chittenden
JANE,SMITH,666666,Vermont,999888777,Active,Insurance Producer,2024-04-01,2027-03-31,Life,Approved,9 CHURCH ST,,BURLINGTON,VT,05401,Chittenden
,TEXAS HQ BROKER LLC,777777,Texas,888777666,Active,Insurance Producer,2024-04-01,2027-03-31,Life,Approved,1 MAIN ST,,AUSTIN,TX,78701,
BOB,ADJUSTER,888888,Vermont,111222333,Active,Adjuster-Property and Casualty,2024-04-01,2027-03-31,Property,Approved,2 PINE ST,,BURLINGTON,VT,05401,Chittenden
